Table 1
Тип наблюдения;ФИО;Категория наблюдения;Дата;Время;Организация;Какие возможные последствия наблюдения или преимущества хорошей практики / вашего предложения?;Какие меры вы предприняли?;Производилась ли остановка работ?;Какие действия вы предприняли для поощрения хорошей практики?;Обсудили ли вы небезопасное действие / небезопасное поведение с наблюдаемым?;Сообщили ли ответственному лицу?;Кому вы сообщили о наблюдении? (Обязательно к заполнению для небезопасного действия/ небезопасного поведения/опасного фактора / опасного случая);Было ли небезопасное условие / поведение исправлено и опасность устранена?;Фото/Документы с места выявления несоответствия или предложения;Опишите ваше наблюдение/предложение;
Небезопасное условие ;Орхидеев Тюльпан Гортензиевич;Выполнение требований инструкций, Аварийное реагирование / Готовность к ЧС, Монтажные и грузоподъемные работы;8/12/25 5:00;9/29/25 14:30;"ТОО ""Цветущий Миндаль""";" №7 бригадасы ТҚ-5, ұңғы-5967.  Ұңғы сағасы типтік бекітілген сызбаға сай жабдықталмаған (тұншықтыру, реттегіш топтары және созба құбырлары орнатылмаған). Жұмысшы зардап шегу қауіпі бар

";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";FALSE;;;
Предложение (инициатива);Жасминов Астрон Розанович;Вывешивание плакатов, СИЗ / Средства по обеспечению безопасности;9/29/25 5:00;9/29/25 16:16;"ТОО ""Полевой Клевер""";случайно заметил;не смог;FALSE;не смог;FALSE;FALSE;никому;FALSE;;;
Небезопасное действие;Лилиев Розан Лилиевич;Выполнение требований инструкций, Перемещение грузов вручную, Монтажные и грузоподъемные работы;8/12/25 5:00;9/29/25 16:25;"ТОО ""Огненная Георгина""";" №7 бригадасы ТҚ-46, ұңғы-7883.  Қабылдау шанасының тіреуіштері толық емес
";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";FALSE;;;
Небезопасное действие;Камелиев Азалий Камелиевич;СИЗ / Средства по обеспечению безопасности, Переносное оборудование / Ручные инструменты;9/29/25 5:00;9/29/25 16:00;"ТОО ""Сияющая Примула""";Қауіпсіздік сақтау;Жұмыс тоқтатылды.;TRUE;Кілттер ауыстырылды.;TRUE;TRUE;Жауаптыға айтылды.;TRUE;;;
Небезопасное условие ;Маргаритов Нарцисс Мелиссович;Выполнение требований инструкций, Аварийное реагирование / Готовность к ЧС, Рабочее место / Эргономика, Монтажные и грузоподъемные работы;8/12/25 5:00;9/29/25 14:30;"ТОО ""Гармония Лилий""";" №9 бригадасы ТҚ-5, ұңғы-5967.  Ұңғы сағасы типтік бекітілген сызбаға сай жабдықталмаған (тұншықтыру, реттегіш топтары және созба құбырлары орнатылмаған). Жұмысшы зардап шегу қауіпі бар

";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";FALSE;;;
Опасный случай;Камелиев Виолан Лавандович;Электрооборудование;9/29/25 5:00;9/29/25 16:18;"ТОО ""Шёлковый Пион""";Электр жүйесінде оқшауланбаған құралмен жұмыс жасап жатты, тоқ ұрып жарақат алуы ықтимал.;Жұмысын тоқтақтатып, құралын ауыстыруды ескерттім.;TRUE;Техника қауіпсіздігі нұсқауын сақтауды ескерттім.;TRUE;TRUE;Шеберхана шебері Е. Жамишевке. ;TRUE;;;
Небезопасное действие;Розанов Тюльпан Ирисович;Работы на высоте / Строительные леса, СИЗ / Средства по обеспечению безопасности, Проскальзывание / Спотыкание / Падение;9/28/25 5:00;9/29/25 20:00;"ТОО ""Японская Сакура""";Во время передвижения на высоте отстегивал оба карабины страховочного пояса.;Предупредил наблюдаемого и обсудили об опасности работы на высоте.;FALSE;Нет данных;TRUE;TRUE;Бригадиру и Куратору.;FALSE;;;
Хорошая практика;Розанов Гортензий Нарциссович;Вывешивание плакатов, Взрыво- и пожароопасность, Знаки безопасности / Предупредительные таблички, Трубопроводы / Подземные коммуникации, Поддержание чистоты и порядка, Охрана окружающей среды, Выполнение требований инструкций, Опасные вещества/сероводород;10/13/25 5:00;10/13/25 15:00;"ТОО ""Лунная Орхидея""";Проводилась чистка фильтра насоса.;Отсекали насоса, стравили от давления.;TRUE;Проводил инструктаж машинистам технологических насосов.;TRUE;TRUE;Начальнику ЦДНГ;FALSE;;;
Небезопасное действие;Маргаритов Астрон Лавандович;Транспортировка;10/13/25 5:00;10/13/25 20:20;"ТОО ""Садовый Гиацинт""";На участке 1389 км обнаружена выполнение работ на подземном механическом транспорте без дополнительного оборкдования ( неу упор под колеса).;Предупредил старшего рабочей группы и доложил руководству.;FALSE;Сообщил начальнику участка и начальнику ГНПС Ердебекову Ж.А.;TRUE;TRUE;Начальнику смены участкам дежурному диспетчеру участка.;TRUE;;;
Небезопасное поведение;Пионов Гортензий Азалиевич;СИЗ / Средства по обеспечению безопасности;11/5/25 5:00;11/5/25 13:35;"ТОО ""Белый Лотос KZ""";"Перед началом работ, при проверке готовности работников к работам повышенной опасности, было обнаружено что у слесаря ТОО "" SNK NINFN GROUP""
Осербаева Б.Б. срок периодической проверки противогаза был просрочен.(20.07.2025г) ";Не допустила к работе до устранения замечания.;FALSE;Была проведена разъяснительная работа по применению СИЗОД;TRUE;TRUE;"Инженеру ТОО"" SNK NINFN GROUP""";TRUE;;;
Небезопасное действие;Гортензиев Нарцисс Фиалкович;Трубопроводы / Подземные коммуникации;9/29/25 5:00;9/29/25 17:08;"ТОО ""Ароматный Мирт""";Сетчатые ворота по периметру объекта закрыть профлистом ;Сообщил руководству БПО ПНУ ;FALSE;Сообщил руководству KMG-Security ПФ ;TRUE;TRUE;Руководству БПО ПНУ ;FALSE;;;
Небезопасное поведение;Тюльпанов Тюльпан Маргаритович;Охрана окружающей среды, СИЗ / Средства по обеспечению безопасности;10/13/25 5:00;10/13/25 19:39;"ТОО ""Цветочный Бриз""";"Работник ТОО ""Куандык и Ко"" выполняли работу по зачистке РВС-1, работник проводил работу без каски, Тем самым нарушил правила безопасности. ";Приостановил работу потребовал соблюдать правили СИЗ.;FALSE;Нет данных;TRUE;TRUE;"Сообщил мастеру ТОО ""Куандык и Ко"" о необходимости проведении инструктажа по соблюдению СИЗ.";TRUE;;;
Небезопасное действие;Вербенов Ирис Лилиевич;Монтажные и грузоподъемные работы;10/2/25 5:00;10/13/25 19:05;"ТОО ""Небесная Камелия""";"Ботақан кен орнында металлалом тиеу кезінде мердігер мекемесінің жұмысшысы жүктің астымен өткендігі байқалды.
";"Дереу жұмысшыға ескерту берілді.
";TRUE;Нет данных;TRUE;TRUE;Нет данных;TRUE;;;
Хорошая практика;Сакуров Ирис Магнолиевич;Поддержание чистоты и порядка;10/8/25 5:00;10/13/25 22:09;"ТОО ""Степной Шалфей""";"№188 ұңғыманың саға басының сальнигін ауыстыру кезінде оператор өте тыныяқты жұмыс атқарды. Жұмыс артынан ұңғыма айналасын тазалап, құралдарын тиісті орнына жинады.
";"Жұмысшыға алғыс айтылды.
";FALSE;Нет данных;TRUE;TRUE;Нет данных;TRUE;;;
Небезопасное условие ;Азалиев Камелий Лилиевич;Поддержание чистоты и порядка, Взрыво- и пожароопасность;9/29/25 5:00;9/29/25 15:06;"ТОО ""Грация Гортензии""";Замазучен после прс бригады;Технологка айттым;FALSE;Глушит скв.по технологий;TRUE;TRUE;Зам.началнику и технологу;TRUE;;;
Небезопасное действие;Розанов Маргарит Пионович;Переносное оборудование / Ручные инструменты;9/10/25 5:00;9/29/25 16:10;"ТОО ""Пудровая Роза""";Работник во время использования переносных светильников 12В внутри резервуара не выващивают их в специальные приспособлении, таким образом может повредит стеклянные плафоны и корпуса;Провел с работниками разъяснительные работы о порядке использования светильников 12В;TRUE;Было установлено специальные удерживающие приспособлении для светильников 12В;TRUE;TRUE;Нет данных;TRUE;;;
Небезопасное условие ;Виолетов Лилий Ирисович;Электрооборудование;9/7/25 5:00;9/29/25 19:58;"ТОО ""Золотой Подсолнух""";2500/15 электр қозғалтқышында діріл бар;Шеберге тапсырылды;FALSE;Шеберге тапсырылды;TRUE;TRUE;Шеберге тапсырылды;TRUE;;;
Небезопасное условие ;Магнолиев Магнолий Тюльпанович;Электрооборудование;9/8/25 5:00;9/29/25 15:00;"ТОО ""Кристальный Ирис""";ӨЭҚ-2 базасын жарықтандыру;Шеберге тапсырылды;FALSE;Шеберге тапсырылды;TRUE;TRUE;Шеберге тапсырылды;TRUE;;;
Предложение (инициатива);Нарциссов Жасмин Тюльпанович;Поддержание чистоты и порядка;9/9/25 5:00;9/29/25 20:02;"ТОО ""Лепесток Удачи""";ӨЭҚ-2 аймағын тазалау;Шеберге тапсырылыды;FALSE;Шеберге тапсырылыды;TRUE;TRUE;Шеберге тапсырылыды;TRUE;;;
Небезопасное условие ;Хризантемов Фиал Мелиссович;Электрооборудование;9/10/25 5:00;9/29/25 15:20;"ТОО ""Рассветная Лаванда""";ТҚ-103 др/н-3 жағындағы ЭҚ істен шыққалы тұр;Шеберге тапсырылды;FALSE;Шеберге тапсырылды;TRUE;TRUE;Шеберге тапсырылды;TRUE;;;
Небезопасное условие ;Георгинов Розан Жасминович;Проскальзывание / Спотыкание / Падение;10/31/25 5:00;11/5/25 21:41;"ТОО ""Цветущий Олеандр""";Жаңа 2000м3 қазанын монтаждау жұмысы кезінде аяқ асты бөгде заттардың шашылып жатуы. Жұмысшылар сүрініп құлау қаупі бар.;Жұмыс тоқталып, аумақ бөгде заттардан тазартылды;TRUE;Нет данных;TRUE;TRUE;ЕҚ ж ТҚ инженеріне, Телім басшысына;TRUE;;;
Небезопасное условие ;Георгинов Тюльпан Маргаритович;Электрооборудование;9/11/25 5:00;9/29/25 20:17;"ТОО ""Весенний Букет""";ТҚ-45 кабель ауыстыру қажет тозығы шыққан;Шеберге тапсырылды;FALSE;Шеберге тапсырылды;TRUE;TRUE;Шеберге тапсырылды;TRUE;;;
Небезопасное условие ;Тюльпанов Тюльпан Виолетович;Электрооборудование;9/12/25 5:00;9/29/25 19:22;"ТОО ""Флора Капитал""";5412/24 эқ ауыстыру;Шеберге тапсырылды;FALSE;Шеберге тапсырылды;TRUE;TRUE;Шеберге тапсырылды;TRUE;;;
Небезопасное действие;Гортензиев Пион Жасминович;Рабочее место / Эргономика, Вывешивание плакатов, Проскальзывание / Спотыкание / Падение;9/29/25 5:00;9/30/25 1:25;"ТОО ""Бархатный Тюльпан""";При ремонтных работах ограждения на территорий ПЭС-2 было демонтировано колючие проволоки и разбросанный на пиши дорожку, темные время суток его не видный есть риск можно споткнутся и упасть;вызванный работники подрядный организаций ремонтирующие ограждения и отведены колючие проволоки в боле безопасное место            ;FALSE;Предупредили что нельзя разбрасывать демонтированные материалы    ;TRUE;TRUE;Охрану ПЭС-2;TRUE;;;
Небезопасное действие;Хризантемов Нарцисс Магнолиевич;Выполнение требований инструкций, Аварийное реагирование / Готовность к ЧС, Рабочее место / Эргономика, Монтажные и грузоподъемные работы;8/12/25 5:00;9/29/25 19:50;"ТОО ""Алый Тюльпан""";" КРС-4 бригадасы ШСС-50, ТҚ-40, ұңғы-6886.  Ұңғы сағасы типтік бекітілген сызбаға сай жабдықталмаған (тұншықтыру, реттегіш топтары және созба құбырлары орнатылмаған).
";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";FALSE;;;
Небезопасное действие;Астров Лотос Лавандович;Выполнение требований инструкций, Монтажные и грузоподъемные работы, Рабочее место / Эргономика, Падающие предметы;8/12/25 5:00;9/29/25 21:50;"ТОО ""Белая Роза""";" КРС-4 бригадасы ШСС-50, ТҚ-40, ұңғы-6886.   Қабылдау шанасының тіреуіштері толық емес
";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";FALSE;;;
Небезопасное действие;Вербенов Ирис Гортензиевич;Транспортировка;9/29/25 5:00;9/29/25 20:33;"ТОО ""Золотая Лилия""";На 1612 км. Обнаружено выполнение работа по транспортировке спец груза без дополнительного крепления. ;Доложил руководству участка. ;TRUE;Предупредил водителя и старшего группы на участке. Сообщил начальнику участка.;TRUE;TRUE;Начальнику участка Болтабеков Нургазы;FALSE;;;
Небезопасное условие ;Вербенов Виолан Азалиевич;Выполнение требований инструкций, Аварийное реагирование / Готовность к ЧС, Рабочее место / Эргономика, Монтажные и грузоподъемные работы;9/9/25 5:00;9/29/25 14:30;"ТОО ""Лавандовый Рассвет""";" №6 бригадасы ТҚ-93, ұңғы-6443.  Ұңғы сағасы типтік бекітілген сызбаға сай жабдықталмаған (привентор, тұншықтыру, реттегіш топтары және созба құбырлары орнатылмаған).
";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;СКжЖАЖЦ бастығына;FALSE;;;
Предложение (инициатива);Пионов Фиал Розанович;Электрооборудование;9/14/25 5:00;9/29/25 15:10;"ТОО ""Синяя Орхидея""";ТҚ-103 жылыту пештері жоқ;Шеберге тапсырылды;FALSE;Шеберге тапсырылды;TRUE;TRUE;Шеберге тапсырылды;TRUE;;;
Небезопасное поведение;Хризантемов Мелисс Розанович;Электрооборудование;9/29/25 5:00;9/29/25 21:19;"ТОО ""Пурпурный Ирис""";Камаз н1544/12 артқы оң жақ фонары жанбайды;Жөндеуге жіберілді;FALSE;Нет данных;TRUE;TRUE;Аға механик Есенов С. Айтып ескертілді;TRUE;;;
Небезопасное условие ;Маргаритов Орхидей Ирисович;Электрооборудование;9/16/25 5:00;9/29/25 16:40;"ТОО ""Нежная Фиалка""";4201/45 айналу жиілігі дұрыс емес;Шеберге тапсырылды;FALSE;Шеберге тапсырылды;TRUE;TRUE;Шеберге тапсырылды;TRUE;;;
Небезопасное условие ;Маргаритов Азалий Тюльпанович;Выполнение требований инструкций, Аварийное реагирование / Готовность к ЧС, Рабочее место / Эргономика, Монтажные и грузоподъемные работы;9/9/25 5:00;9/29/25 16:00;"ТОО ""Солнечный Подсолнух""";" №8 бригадасы ТҚ-73, ұңғы-4956.  Ұңғы сағасы типтік бекітілген сызбаға сай жабдықталмаған (АҚЖ, тұншықтыру, реттегіш топтары және созба құбырлары орнатылмаған).
";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";FALSE;;;
Небезопасное условие ;Астров Орхидей Тюльпанович;Электрооборудование;9/19/25 5:00;9/29/25 20:20;"ТОО ""Весенний Пион""";ТҚ-43 жарық шамдары дұрыс жанбай тұр;Шеберге тапсырылды;FALSE;Шеберге тапсырылды;TRUE;TRUE;Шеберге тапсырылды;TRUE;;;
Небезопасное условие ;Лотосов Тюльпан Нарциссович;Электрооборудование;9/20/25 5:00;9/29/25 16:05;"ТОО ""Горная Эдельвейс""";5621/43 бб мқ ауыстыру;Шеберге тапсырылды;FALSE;Шеберге тапсырылды;TRUE;TRUE;Шеберге тапсырылды;TRUE;;;
Небезопасное условие ;Пионов Флорен Лилиевич;Электрооборудование;9/21/25 5:00;9/29/25 15:04;"ТОО ""Дикая Ромашка""";8859/41 бб - эқ кабель арасында үзік бар;Шеберге тапсырылды;FALSE;Шеберге тапсырылды;TRUE;TRUE;Шеберге тапсырылды;TRUE;;;
Небезопасное условие ;Астров Фиал Магнолиевич;Электрооборудование;9/21/25 5:00;9/29/25 16:10;"ТОО ""Серебряный Лотос""";5971/83 бб – эқ кабель тексеру ;Шеберге тапсырылды;FALSE;Шеберге тапсырылды;TRUE;TRUE;Шеберге тапсырылды;TRUE;;;
Предложение (инициатива);Мелиссов Хризантем Ирисович;Поддержание чистоты и порядка;9/22/25 5:00;9/29/25 15:12;"ТОО ""Ясный Василёк""";ӨЭҚ-1 айналасын тазалау;Шеберге тапсырылды;FALSE;Шеберге тапсырылды;TRUE;TRUE;Шеберге тапсырылды;TRUE;;;
Небезопасное условие ;Пионов Нарцисс Гортензиевич;Электрооборудование;9/22/25 5:00;9/29/25 16:14;"ТОО ""Алая Гвоздика""";4314/65 айналу жиелігі дұрыс емес ;Шеберге тапсырылды;FALSE;Шеберге тапсырылды;TRUE;TRUE;Шеберге тапсырылды;TRUE;;;
Небезопасное действие;Ирисов Гортензий Вербенович;Работы на высоте / Строительные леса, СИЗ / Средства по обеспечению безопасности, Проскальзывание / Спотыкание / Падение;9/28/25 5:00;9/29/25 20:00;"ТОО ""Сакура Плюс""";Во время передвижения на высоте работник ПО отстегивал оба карабины страховочного пояса.;Предупредил наблюдаемого и обсудили об опасности работы на высоте.;TRUE;Нет данных;TRUE;TRUE;Бригадиру подрядной компании и Куратору.;TRUE;;;
Небезопасное условие ;Жасминов Вербен Флорович;Выполнение требований инструкций, Аварийное реагирование / Готовность к ЧС, Рабочее место / Эргономика, Монтажные и грузоподъемные работы;9/10/25 5:00;9/29/25 14:40;"ТОО ""Южная Магнолия""";" №17 бригадасы ТҚ-93, ұңғы-4876.  Ұңғы сағасы типтік бекітілген сызбаға сай жабдықталмаған (привентор, тұншықтыру, реттегіш топтары және созба құбырлары орнатылмаған).
";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";FALSE;;;
Небезопасное условие ;Ирисов Хризантем Розанович;Выполнение требований инструкций, Аварийное реагирование / Готовность к ЧС, Рабочее место / Эргономика, Монтажные и грузоподъемные работы;9/10/25 5:00;9/29/25 16:20;"ТОО ""Таёжный Жасмин""";" №9 бригадасы ТҚ-31, ұңғы-7757.  Ұңғы сағасы типтік бекітілген сызбаға сай жабдықталмаған (привентор, тұншықтыру, реттегіш топтары және созба құбырлары орнатылмаған).
";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";FALSE;;;
Небезопасное условие ;Розанов Жасмин Пионович;Выполнение требований инструкций, Аварийное реагирование / Готовность к ЧС, Рабочее место / Эргономика, Монтажные и грузоподъемные работы;9/11/25 5:00;9/29/25 14:40;"ТОО ""Полевая Незабудка""";" №18 бригадасы ТҚ-1, ұңғы-9331.  Ұңғы сағасы типтік бекітілген сызбаға сай жабдықталмаған (привентор, тұншықтыру, реттегіш топтары және созба құбырлары орнатылмаған).
";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";FALSE;;;
Небезопасное условие ;Пионов Сакур Флорович;Выполнение требований инструкций, Аварийное реагирование / Готовность к ЧС, Рабочее место / Эргономика, Монтажные и грузоподъемные работы;9/11/25 5:00;9/29/25 16:15;"ТОО ""Янтарная Хризантема""";" №4 бригадасы ТҚ-49, ұңғы-2886.  Ұңғы сағасы типтік бекітілген сызбаға сай жабдықталмаған (привентор, тұншықтыру, реттегіш топтары және созба құбырлары орнатылмаған).
";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";FALSE;;;
Небезопасное условие ;Азалиев Ирис Пионович;Выполнение требований инструкций, Аварийное реагирование / Готовность к ЧС, Рабочее место / Эргономика, Монтажные и грузоподъемные работы;9/12/25 5:00;9/29/25 15:40;"ТОО ""Тихая Камелия""";" №7 бригадасы ТҚ-45, ұңғы-6306.  Ұңғы сағасы типтік бекітілген сызбаға сай жабдықталмаған (АҚЖ, привентор, тұншықтыру, реттегіш топтары және созба құбырлары орнатылмаған).
";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";FALSE;;;
Небезопасное условие ;Магнолиев Лотос Орхидеевич;Выполнение требований инструкций, Аварийное реагирование / Готовность к ЧС, Монтажные и грузоподъемные работы, Рабочее место / Эргономика;9/12/25 5:00;9/29/25 19:40;"ТОО ""Ночная Лаванда""";" №2 бригадасы ТҚ-43, ұңғы-634.  Ұңғы сағасы типтік бекітілген сызбаға сай жабдықталмаған (тұншықтыру, реттегіш топтары және созба құбырлары орнатылмаған).
";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";FALSE;;;
Небезопасное действие;Магнолиев Сакур Лотосович;Выполнение требований инструкций, Аварийное реагирование / Готовность к ЧС, Рабочее место / Эргономика, Монтажные и грузоподъемные работы;9/12/25 5:00;9/29/25 19:55;"ТОО ""Лесной Ландыш""";" №2 бригадасы ТҚ-43, ұңғы-634.  Күрделі жөндеу кезінде құбыртізбек басының фланец пен айқастырма арасындағы фланецте кернемелік байламында бұрандалы біліктер, шпилька толықтай орнатылмаған. 
";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";FALSE;;;
Небезопасное условие ;Фиалков Азалий Лавандович;Электрооборудование;9/23/25 5:00;9/29/25 16:36;"ТОО ""Звёздный Амариллис""";тқ-80 контур зазаемления жоқ;Шеберге тапсырылды ;FALSE;Шеберге тапсырылды ;TRUE;TRUE;Шеберге тапсырылды ;TRUE;;;
Небезопасное условие ;Магнолиев Флорен Флорович;Электрооборудование;9/24/25 5:00;9/29/25 19:38;"ТОО ""Каспийский Тюльпан""";ВГУ-2А Электро пеші дұрыс жасамай тұр;Шеберге тапсырылды;FALSE;Шеберге тапсырылды;TRUE;TRUE;Шеберге тапсырылды;TRUE;;;
Небезопасное действие;Жасминов Хризантем Хризантемович;Охрана окружающей среды, Поддержание чистоты и порядка, Проскальзывание / Спотыкание / Падение;9/9/25 5:00;9/29/25 14:30;"ТОО ""Степная Роза""";" №6 бригадасы ТҚ-93, ұңғы-6443.  Ұңғы айналасы майлаңқы топырақтардан ластанған
";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";TRUE;;;
Небезопасное условие ;Георгинов Ирис Хризантемович;Электрооборудование;9/25/25 5:00;9/29/25 19:40;"ТОО ""Голубая Гортензия""";РП-38  ЯЧ-4,6 БМРЗ-100 светодиод жарық шамдары жанбай тұр;Шеберге тапсырылды;FALSE;Шеберге тапсырылды;TRUE;TRUE;Шеберге тапсырылды;TRUE;;;
Небезопасное условие ;Георгинов Маргарит Орхидеевич;Электрооборудование;9/25/25 5:00;9/29/25 15:43;"ТОО ""Рубиновый Мак""";9836/68 чрп басқару блогының потенциометрі бұралынбайды;Шеберге тапсырылды;FALSE;Шеберге тапсырылды;TRUE;TRUE;Шеберге тапсырылды;TRUE;;;
Небезопасное действие;Виолетов Лаврентий Азалиевич;Поддержание чистоты и порядка, Охрана окружающей среды;9/10/25 5:00;9/29/25 16:20;"ТОО ""Северный Нарцисс""";" №9 бригадасы ТҚ-31, ұңғы-7757.  мәдени үйшіктің айналасы лас, бос баклашкалар дәне темекі қалдықтары жерде шашылып жатыр
";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";TRUE;;;
Небезопасное действие;Лотосов Флорен Хризантемович;Охрана окружающей среды, Поддержание чистоты и порядка;9/11/25 5:00;9/29/25 16:15;"ТОО ""Имперская Орхидея""";" №4 бригадасы ТҚ-49, ұңғы-2886. қабылдау шанасының айналасына топырақ үйіндісі жасалмаған, ұңғыдан шыққан су, жанжаққа таралған.
";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";TRUE;;;
Небезопасное действие;Ирисов Орхидей Тюльпанович;Электрооборудование, Взрыво- и пожароопасность, Выполнение требований инструкций;9/12/25 5:00;9/29/25 15:40;"ТОО ""Весенний Крокус""";" №7 бригадасы ТҚ-45, ұңғы-6306.  Мәдени үйшіктің тоқ өткізгіш жерге тұйықтағышы талапқа сай емес
";"Ұйғарымдама толтырылды бригада шеберіне
";FALSE;"Тиісті қызметкерлерге ескертілді
";TRUE;TRUE;"СКжЖАЖЦ бастығына
";TRUE;;;
Хорошая практика;Лавандов Лотос Фиалкович;Работы в замкнутом пространстве, Работы на высоте / Строительные леса, Падающие предметы;9/29/25 5:00;9/29/25 22:00;"ТОО ""Изумрудный Папоротник""";"Проводятся работы по пескострую кровли резервуара: Работники соблюдают все требования техники безопасности, используют все необходимые СИЗ и СИЗОД.
";Нарушений правила безопасности не наблюдалось. ;FALSE;Также обсудили меры безопасности в дальнейшей их работе;TRUE;FALSE;Нет данных;FALSE;;;
Небезопасное условие ;Маргаритов Пион Нарциссович;Электрооборудование;9/29/25 5:00;9/30/25 1:20;"ТОО ""Белоснежная Азалия""";На объекте разъезд 96 не горит лампочка внутреннего освещения ;Доложил руководству ГНПС Атасу ;FALSE;Нет данных;TRUE;TRUE;Начальник участка Гнпс Атасу Абдиков Жантас ;TRUE;;;
Небезопасное поведение;Лавандов Камелий Азалиевич;СИЗ / Средства по обеспечению безопасности;9/30/25 5:00;9/30/25 12:58;"ТОО ""Алтын Бәйшешек""";Жүк жеткізуші қорғаныс дулығасыз жүр;Қорғаныс киімсіз жұмыс орында жүруге болмайтындығы түсіндірілді, ;TRUE;Түсіндірілді;TRUE;FALSE;Ешкімге хабарланған жоқ;TRUE;;;
Небезопасное поведение;Хризантемов Лотос Жасминович;Рабочее место / Эргономика;9/29/25 5:00;9/30/25 15:20;"ТОО ""Көктем Гүлі""";Көлік құралын жөндеу барысындағы жұмыстар;Нет данных;TRUE;участік мастеріне ескертілді;TRUE;TRUE;Нет данных;TRUE;;;
Небезопасное условие ;Вербенов Ирис Мелиссович;Выполнение требований инструкций, Поддержание чистоты и порядка;9/19/25 5:00;9/30/25 13:00;"ТОО ""Жемчужная Фрезия""";На закрепленной территории поросль травы. Пожароопасно.;Сообщил ответственному лицу.;FALSE;-;FALSE;TRUE;Начальнику участка.;TRUE;;;
Небезопасное условие ;Розанов Пион Жасминович;Работы на высоте / Строительные леса, Выполнение требований инструкций;9/25/25 5:00;9/30/25 20:00;"ТОО ""Лазурный Дельфиниум""";Производство работ работника подрядной организации без каски.;Сообщил ответственному лицу производства работ. ;TRUE;-;TRUE;TRUE;Старшему бригады.;TRUE;;;
Небезопасное действие;Жасминов Лилий Камелиевич;Вождение;9/30/25 5:00;9/30/25 13:01;"ТОО ""Розовый Флокс""";Терезе сүрткішінің резинасы жартылай түсіп қалған. Жаңбырлы кезде алды нашар көрінеді.;Резинасы ауыстырылды.;FALSE;Жүргізушімен әңгіме өткіздім;TRUE;TRUE;Автотізбек механигіне;TRUE;;;
Небезопасное условие ;Орхидеев Лилий Флорович;Рабочее место / Эргономика, Электрооборудование;9/22/25 5:00;9/30/25 15:30;"ТОО ""Сафлоровый Рассвет""";Недостаточность освещенности.;Сообщил о необходимости заменить неисправные прожекторы;FALSE;-;FALSE;TRUE;Начальнику участка ;TRUE;;;
Небезопасное действие;Лотосов Нарцисс Азалиевич;СИЗ / Средства по обеспечению безопасности;9/30/25 5:00;9/30/25 13:30;"ТОО ""Медовая Астра""";Проведена сварочные работы;Нет данных;FALSE;Поблагодарил работников за хорошей практики;TRUE;FALSE;Нет данных;FALSE;;;
